audio_path,transcript,lang,lang_code,gender,age,country,accent
AUDIO_PATH_HERE/06M3yvaKEmEFkcuDwVy3aBrKo9TB5IVY/audio.wav,0,igbo,ibo,Female,25.0,Nigeria,
AUDIO_PATH_HERE/0902UDIFwFBgM40EM2Nmuy0KvGIGRQ9p/audio.wav,5,igbo,ibo,Male,26.0,Nigeria,
AUDIO_PATH_HERE/0xDhsm0fDV30QC5g3oVPOsK3pd4quzcq/audio.wav,6,igbo,ibo,Female,28.0,Nigeria,Igbo
AUDIO_PATH_HERE/1HOWdzuwNMDgOfCcY2eemReFYiOs7WaJ/audio.wav,8,igbo,ibo,,,,
AUDIO_PATH_HERE/1g2NaaREFGKUnTrpourJOpz5miqWnaXM/audio.wav,5,igbo,ibo,,29.0,Nigeria,Afikpo
AUDIO_PATH_HERE/33EdKsLcgmmYxQh9nePHb8eqm93jU3GV/audio.wav,4,igbo,ibo,Male,29.0,Nigeria,Igbo
AUDIO_PATH_HERE/3pXGOS1rivmsz9Zfq7Yl7tl3Ee2AlVSG/audio.wav,9,igbo,ibo,Female,25.0,Nigeria,
AUDIO_PATH_HERE/4109PwR4uEmBzVsMR6OwUXLfEZyC6pcc/audio.wav,6,igbo,ibo,Male,26.0,Nigeria,
AUDIO_PATH_HERE/4EHVjoQQpMJO9rXOJFULnKnP5Td82oVQ/audio.wav,7,igbo,ibo,Male,,,
AUDIO_PATH_HERE/4lykIMxU6TmZpcDxA5N7GCSIM75La2SB/audio.wav,7,igbo,ibo,,29.0,Nigeria,Afikpo
AUDIO_PATH_HERE/5Afwsy3gubcKqzC6GKC4WFFRQogMs5KR/audio.wav,9,igbo,ibo,Female,24.0,Nigeria,
AUDIO_PATH_HERE/5g8jjWfDIyVQS1yTa3xqGALSDz4vq2dl/audio.wav,0,igbo,ibo,,,,
AUDIO_PATH_HERE/60uNKSDWVdYbURwZMB5o9RE4sFZTUOUj/audio.wav,1,igbo,ibo,Female,25.0,Nigeria,
AUDIO_PATH_HERE/6FVJpYfp5dmE9aFkPgQ5Nh2aitpR3EnF/audio.wav,4,igbo,ibo,Female,28.0,Nigeria,Igbo
AUDIO_PATH_HERE/6MZlRbyaf5cOE0kNlVwCoYD9m25dah7r/audio.wav,6,igbo,ibo,Male,,,
AUDIO_PATH_HERE/7Gvv8RQVYrLuwDyHNf639rWT9fymQ7Au/audio.wav,5,igbo,ibo,Male,,,
AUDIO_PATH_HERE/89VeisqvytzYUuWEbrmpG3huIreOEeR9/audio.wav,8,igbo,ibo,,,,
AUDIO_PATH_HERE/89bs2DorOB73ty8tSUPHDUoNfXBz9lqJ/audio.wav,0,igbo,ibo,Female,28.0,Nigeria,Igbo
AUDIO_PATH_HERE/8pKSsi0UEYMOXWWV5Q4fzv5KK8Nh83pW/audio.wav,7,igbo,ibo,Male,28.0,Nigeria,
AUDIO_PATH_HERE/8w4II7LjiQcWVEzm1N9X0Dh82TfMm0kz/audio.wav,1,igbo,ibo,Male,,Germany,
AUDIO_PATH_HERE/96RDR814EU3DPvuzBkz0dtL3GzkA43Wo/audio.wav,6,igbo,ibo,Female,24.0,Nigeria,
AUDIO_PATH_HERE/9Es6Xy9ao4nThotFbxzP2d79DMlNZu65/audio.wav,7,igbo,ibo,Male,26.0,Nigeria,
AUDIO_PATH_HERE/9Qt7Wa2Sfydrp3TMZIm0ut0NpWL1v51G/audio.wav,9,igbo,ibo,,,,
AUDIO_PATH_HERE/9W6CCYtCwRTklQlkiViKpwqOsxsahIM6/audio.wav,3,igbo,ibo,,,,
AUDIO_PATH_HERE/9q0hEKpIc1MWJbdpj68nhxVjociItXfQ/audio.wav,0,igbo,ibo,Male,29.0,Nigeria,Igbo
AUDIO_PATH_HERE/A4lRSUtJiO3rLwLrOQ4mgLU8oIb9jOse/audio.wav,8,igbo,ibo,Male,27.0,,Afikpo
AUDIO_PATH_HERE/AA9OpjivGDPaZ1LaDJOQQKzPr2BoZAbI/audio.wav,1,igbo,ibo,,29.0,Nigeria,Afikpo
AUDIO_PATH_HERE/AKNlGGTEFFCUNqC6pPyGdu8paYvv9aZL/audio.wav,5,igbo,ibo,Male,27.0,,Afikpo
AUDIO_PATH_HERE/AKdDTYyPqgBpQiF3neHd68zVFEAJr8uo/audio.wav,0,igbo,ibo,,,,
AUDIO_PATH_HERE/ARL8fOMmA2WWYkBRRfOnSQ3MRSaU0Tn0/audio.wav,7,igbo,ibo,Male,25.0,Nigeria,Igbo
AUDIO_PATH_HERE/AlNn2ZKor6Oz8VEmHdQjArWkdrTOIIz4/audio.wav,0,igbo,ibo,,,,
AUDIO_PATH_HERE/BVM9l5GXSLXxb1nDGoPHb3M7sDSihqf6/audio.wav,4,igbo,ibo,,29.0,Nigeria,Afikpo
AUDIO_PATH_HERE/BuUyIw324XecvXzpbihO28PEFWfIOdc7/audio.wav,1,igbo,ibo,Female,24.0,Nigeria,
AUDIO_PATH_HERE/Cz9DFL6a48BRJfq3tCVQQux49P6FwfRu/audio.wav,4,igbo,ibo,,,,
