audio_path,transcript,lang,lang_code,gender,age,country,accent
/home/mila/c/chris.emezue/scratch/afr/data/2OcaDdMFvIlxpqqQHCUyIxt10CcEg7t7/audio.wav,9,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/3Ojig6rJkV2UvnRrqCpF8CWxQUaVlojm/audio.wav,2,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/5D6692wj8vLovUCDFyJzDhsox0XlBOlz/audio.wav,6,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/6Z9AeCiN5OUuZeFw9FxhzhljxZQQHlAC/audio.wav,6,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/8wO2rBjlXFkaBU11BhFXZ8JEgTIY0USA/audio.wav,4,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/D5aZG73NQRBCfkjOihO6tOJecRrkl9BI/audio.wav,2,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/DPFo0by34pGCLmabG6wjs56s612T8zSg/audio.wav,8,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/FJqXsFQztZItyns4MYLitt3mzW1i4XRd/audio.wav,9,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/FX8eCsg4RDqTVto1dvY7L1htVLGI7IMV/audio.wav,4,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/ITVpwVWEQ8Z1YM4VPUnhtTBtpDV3Euxt/audio.wav,7,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/ImBUzQW22uPvBx46BR3gkc6iqC7NzRvw/audio.wav,5,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/LjVTLcZ33GcZoIUqGz3HDBYyYykqHK8D/audio.wav,9,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/M2G2KFjKpMSEvijN6txPxeDm4UlkbMqr/audio.wav,2,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/R6W5zU8ezS1V76stFCCwXZPPbwxhltrJ/audio.wav,0,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/SWRPenJTJqUuyo33Jy63xPVqRCz82g8y/audio.wav,7,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/Urv8GRTvZD2IxgPiztP3reReZ5VDOwup/audio.wav,1,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/Wn6NyZSpmTY6sSMLT2rtPSQ8lr076osa/audio.wav,5,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/ZGHTRXiUIxZQCoIR1vzilr0dPhWBUYxw/audio.wav,1,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/e9eYVnaki06FdIjiyhr0xLfYlOKxPWT9/audio.wav,3,shona,sna,Male,34.0,Australia,Shona
/home/mila/c/chris.emezue/scratch/afr/data/m59dIGJOdJmqrGE4u14pP8cF7j4TwXut/audio.wav,0,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/mL81ZaYzjNAYgr7N82ao5qB3j2wYcHDh/audio.wav,8,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/mtby28jByNxHJaToAvKg3dQv6yhfCzco/audio.wav,3,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/oGtcSyTjwlPXyQXQjrYF4h2ACU9Lbuki/audio.wav,4,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/oIoPReBFD341FU0jO71pxgeLoC282IpA/audio.wav,1,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/oJt072uMa1cZ1ieEGF6djKozQqHn7mXf/audio.wav,3,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/psqLBFJqWX8a3gvC8jAzDmqX0yASReHB/audio.wav,6,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/rdFSGkBH7T5TJdZp96q29dl5u4QFnACu/audio.wav,5,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/rdNzteehJiXRz3cl97T7yScI3LQEZBNN/audio.wav,8,shona,sna,Male,22.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/vDJ3n7Jv98cNZAFqWPldC9fADgK1hzz3/audio.wav,0,shona,sna,Male,23.0,Zimbabwe,
/home/mila/c/chris.emezue/scratch/afr/data/vudM0Q3QhYQRUSxnWwZLQJPFSpL1S9rk/audio.wav,7,shona,sna,Male,34.0,Australia,Shona
