audio_path,transcript,lang,lang_code,gender,age,country,accent
/home/mila/c/chris.emezue/scratch/afr/data/0OhzgzRDVq7cpYFFY2W7jefEKLOURNp8/audio.wav,0,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/2mzLDDHVy5zA4cH5NPK0VU3rtZKVZ2kK/audio.wav,7,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/4DojgyZSPt2XRnCJMniEaGKznGT6BuUP/audio.wav,8,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/7gHQvv0eH7H9kiAuzDM5BrUMnlAQua4y/audio.wav,0,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/Cn8ve720zqPppRPdI2TXbkwHNdmtVUPf/audio.wav,5,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/Cp8v3u5iYUnIQlJq7ZqSn9C9RyykeD9o/audio.wav,4,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/GNBdBCcjYgBIkQvNc09aP8MW1LuJnniY/audio.wav,3,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/KIHMsNlPEszxzSYBkofIMDi9oqBz52sn/audio.wav,9,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/LWVULudT1ieG42tA395R1kQDoU2y7Tiv/audio.wav,4,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/WyV7RyIFqbGsYDF9kDxIwqi0atRFdavH/audio.wav,2,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/Xbiq3Nv8JSko22be3orDMcDurESjl5xc/audio.wav,7,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/XxSSVGLe2bNdozSHDitAkT9Ja2FVCOwe/audio.wav,0,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/Y2Kr1zV41BVuW3gsaK1LCSS0d8y1P023/audio.wav,9,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/YEPqZ3CHDppprriDgoGA9MvOgRNMf43F/audio.wav,3,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/Yu7R5ovK6lY2lXnFMwm8XNQWNeCQb7UP/audio.wav,3,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/ZOnfif9zaXU1p6HSsV1uzodwR2YPDi8n/audio.wav,2,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/aVtLEnNrnQkyz6V0WeCrNNDtMy8cU5zb/audio.wav,8,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/asJTpSmMRWAB36FJRsFTdBub9n4UsFgZ/audio.wav,7,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/fAtt4U6f0O78DjpAP7DIdeieDoCWs6s7/audio.wav,6,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/gOXsEKzgJAmmE4g8nCOl5SLAA0eKpmA3/audio.wav,9,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/jofDEmOjCGuHTCrXcLVw2fMvlnfwu4yO/audio.wav,5,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/kc0yRY6bWY0240To5vutdNUKPHSvHqqs/audio.wav,6,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/qRanTgweoBhNaS2ksvlhyyTF5tAekRUY/audio.wav,8,yoruba,yor,Male,,Nigeria,Standard Yoruba 
/home/mila/c/chris.emezue/scratch/afr/data/rhCaMale0oX2fB9TfWXoxljWwM2qM2IX/audio.wav,1,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/uGGKPKK7XU7JME7CXKet9Sn1B0WQJLnl/audio.wav,5,yoruba,yor,Female,,United States,
/home/mila/c/chris.emezue/scratch/afr/data/vGejhjLPBNPZ63BVx6XLF49vzYanNIGD/audio.wav,1,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/wUhvzS3lKIRjXlWjoO82sZ9H52S5MJwH/audio.wav,4,yoruba,yor,,,Nigeria,Standard Yoruba
/home/mila/c/chris.emezue/scratch/afr/data/zb6CyNeMcgyfSk5LvFzhmjgDbeC2goeM/audio.wav,6,yoruba,yor,Female,,United States,
